tick,elapsed_t_s,elapsed_t_hr,distance_km,actual_spd_kmh,target_kmh,actual_soc_pct,plan_spd_kmh,plan_soc_pct,spd_err_kmh,soc_err_pct,time_err_s,irradiance,wind_ms,solve_ms,solver_ok
0,0.0,8.0,0.0,93.96652688776935,93.87510677475116,79.5840063575038,93.87511176384302,80.0,0.09141512392632478,-0.4159936424962041,0.0,14.108470745868209,0.0,41.24679998494685,True
1,60.0,8.016666666666667,1.5680324485116626,93.93007710591789,93.87509362173554,78.89165244455391,93.87513073229765,79.39267221410155,0.0549463736202398,-0.5010197695476393,0.5593294317834392,466.87580654908027,0.16666452946767882,35.93610000098124,True
2,120.0,8.033333333333333,3.128759698348803,94.13213181650595,93.87512891473526,79.60778657152804,93.87518094775315,79.28614693374448,0.2569508687527957,0.3216396377835622,-0.7987599904315914,514.4801044967736,0.27156512183200915,36.95440001320094,True
3,180.0,8.05,4.693857758345063,93.50178737845384,93.87515829228909,78.80331585456871,93.87526131188726,79.1647878343057,-0.3734739334334165,-0.3614719797369901,-0.23936819009281862,490.7696170743734,-0.9951634360793933,43.616099981591105,True
4,240.0,8.066666666666666,6.257597987891644,93.90486873859031,93.87524119103588,79.61682348620496,93.87537725633152,79.21758987012485,0.02949148225879128,0.3992336160801102,0.32008504295325224,536.4718401443745,-2.2893923909046383,36.848099960479885,True
5,300.0,8.083333333333334,7.823547945550276,93.87704619516406,93.87529761715548,79.11581615231977,93.87553597988624,78.90395662250667,0.0015102152778183608,0.21185952981309697,0.8796242960008271,554.4454193745182,-0.34786377342117875,41.836999997030944,True
6,360.0,8.1,9.388417586540037,94.2154017607807,93.87534000813949,77.35191444826174,93.87575582925625,77.48062365453283,0.3396459315244442,-0.12870920627109683,-0.47814844703441395,505.11378825540726,1.9067989980535227,38.02570002153516,True
7,420.0,8.116666666666667,10.950113079541785,94.05962113964526,93.87547996165226,76.93963862164938,93.87603799480546,76.64375915252835,0.1835831448398011,0.2958794691210329,0.08166671362346278,468.6979517489496,-1.6102832757671135,40.13219999615103,True
8,480.0,8.133333333333333,12.515452052554735,93.97399035349727,93.87562955838838,76.1799293809166,93.87640805431575,76.13538927239645,0.09758229918152495,0.044540108520152444,0.6416862962678351,490.89443442869594,1.0667573783686133,39.218699967022985,True
9,540.0,8.15,14.079838803973857,93.80740373459045,93.87585380232849,74.67937181112443,93.87691048715742,75.29522703617971,-0.0695067525669657,-0.6158552250552844,-0.715431055404224,511.46885512417515,-2.1229666835319114,36.742899974342436,True
10,600.0,8.166666666666666,15.646467981623289,94.07253922067277,93.87614519227058,74.59601022800744,93.87754919766691,74.92427189439523,0.19499002300585744,-0.32826166638778886,-0.15478033260058055,523.2580053657673,-1.3331089209962947,40.167500032112,True
11,660.0,8.183333333333334,17.212024122304335,94.0742779622258,93.87656949747365,75.1378570642942,93.87838413966875,74.78155862843536,0.19589382255705345,0.35629843585883236,0.40633262036010365,475.4815620008829,-2.469074142819662,42.80019999714568,True
12,720.0,8.2,18.77502132791213,93.4904972652992,93.87708863624567,75.42911619347592,93.87951791862177,74.64178842787601,-0.38902065332257507,0.7873277655999118,-0.9493017471044141,472.4965102080319,0.24381196926950502,46.7382000060752,True
13,780.0,8.216666666666667,20.342817018208603,94.0619592551951,93.87771950696806,73.37933423548041,93.88096322017786,74.16826092384812,0.1809960350172446,-0.7889266883677095,-0.3867636922402653,484.8274913135987,-0.21361597290503254,45.678500027861446,True
14,840.0,8.233333333333333,21.905999715399457,94.23140588052541,93.87859127581336,73.6189854508482,93.88285590339045,73.83781123916309,0.34854997713496516,-0.21882578831488786,0.17681933020060114,514.8128215966439,-0.5162992081273305,49.656899995170534,True
15,900.0,8.25,23.471188572617816,94.32246838788082,93.87968370439613,73.55430925552373,93.88533522924732,73.5251660430454,0.43713315863350033,0.029143212478331293,0.741771058697509,523.7493798478886,2.290835123397502,37.645399977918714,True
16,960.0,8.266666666666667,25.033468854432712,93.64440615168672,93.88117302874542,73.11182723000358,93.8887033572111,73.1488736066595,-0.24429720552437573,-0.037046376655922586,-0.6086498420179396,571.5001311456706,0.8446639328810467,44.478299969341606,True
17,1020.0,8.283333333333333,26.59658117308646,94.04761198521548,93.8831555887269,72.90635200057307,93.89299913958183,72.64459402997605,0.1546128456336504,0.2617579705970172,-0.039467406728931564,536.4353845020713,1.1465311757192616,40.1035999529995,True
18,1080.0,8.3,28.164702241600096,94.04494695454653,93.88573223880493,71.61743205763422,93.89862977624949,72.04415334597927,0.14631717829703916,-0.42672128834504974,0.5328231324413082,539.1663536164169,0.8920405912644207,37.31509996578097,True
